"Plant","Family","Country","References"
"Citrus reticulata","Rutaceae","Egypt","Lawal et al, 2015"
"Clausena anisata","Rutaceae","South Africa","Lawal et al, 2015"
"Cleistopholis patens","Annonaceae","Ghana","Lawal et al, 2015"
"Clematis brachiata","Ranunculaceae","South Africa","Lawal et al, 2015"
"Cleome rutidosperma","Cleomaceae","Cameroon","Lawal et al, 2015"
"Clerodendrum glabrum","Verbenaceae","South Africa","Lawal et al, 2015"
"Clutia hirsuta","Euphorbiaceae","South Africa","Lawal et al, 2015"
"Clutia pulchella","Euphorbiaceae","South Africa","Lawal et al, 2015"
"Cnestis ferruginia","Connaraceae","Ghana","Lawal et al, 2015"
"Cochlospermum tinctorium","Cochlospermaceae","Guinea-Bissau","Silva et al, 2011"
"Cocos nucifera","Arecaceae","Nigeria","Lawal et al, 2015"
"Combretum collinum","Combretaceae","Burkina Faso","Lawal et al, 2015"
"Combretum glutinosum","Combretaceae","Burkina Faso","Lawal et al, 2015"
"Combretum molle","Combretaceae","Burkina Faso","Lawal et al, 2015"
"Combretum sericeum","Combretaceae","Burkina Faso","Lawal et al, 2015"
"Combretum zeyheri","Combretaceae","South Africa","Lawal et al, 2015"
"Commiphora kerstingii","Burseraceae","Nigeria","Lawal et al, 2015"
"Conyza aegyptiaca","Asteraceae","Rwanda","Lawal et al, 2015"
"Conyza albida","Asteraceae","South Africa","Lawal et al, 2015"
"Conyza dioscoridis","Compositae","Egypt","Lawal et al, 2015"
"Conyza podocephala","Asteraceae","South Africa","Lawal et al, 2015"
"Conyza scabrida","Asteraceae","South Africa","Lawal et al, 2015"
"Copaifera religiosa","Fabaceae","Gabon","Lawal et al, 2015"
"Corchorus olitorius","Tiliaceae","Egypt","Lawal et al, 2015"
"Crateva religiosa","Capparidaceae","Benin","Lawal et al, 2015"
"Crinum macowanii","Amaryllidaceae","South Africa","Lawal et al, 2015"
"Crossopteryx febrifuga","Rubiaceae","Mozambique","Lawal et al, 2015; Silva et al, 2011"
"Crotalaria burkeana","Fabaceae","South Africa","Lawal et al, 2015"
"Croton gratissimus","Euphorbiaceae","South Africa","Lawal et al, 2015"
"Croton menyharthii","Euphorbiaceae","South Africa","Lawal et al, 2015"
"Croton zambesicus","Euphorbiaceae","Sudan","Lawal et al, 2015"
